price;size;location;real_estate;ownership
1.390.000 €;607 m²;Hauserstraße 40, Gauting, Starnberg (Kreis);Haus;Kauf
8.200.000 €;650 m²;Berg, Starnberg (Kreis);Haus;Kauf
1.585.000 €;204 m²;Seefeld, Starnberg (Kreis);Haus;Kauf
203 m²;7 Zi.7;Berg, Starnberg (Kreis);Haus;Kauf
1.250.000 €;147 m²;Berg, Starnberg (Kreis);Haus;Kauf
906.330 €;158,5 m²;Gilching, Starnberg (Kreis);Haus;Kauf
734.000 €;114 m²;Gilching, Starnberg (Kreis);Haus;Kauf
1.050.000 €;170 m²;Forstweg 4, Gauting, Starnberg (Kreis);Haus;Kauf
1.515.000 €;280 m²;Hechendorfer Straße 130, Herrsching am Ammersee, Starnberg (Kreis);Haus;Kauf
1.950.000 €;263 m²;Starnberg, Starnberg (Kreis);Haus;Kauf
1.030.000 €;166 m²;Pöcking, Starnberg (Kreis);Haus;Kauf
790.000 €;146 m²;Gilching, Starnberg (Kreis);Haus;Kauf
1.490.000 €;192 m²;Tutzing, Starnberg (Kreis);Haus;Kauf
890.000 €;123 m²;Gauting, Starnberg (Kreis);Haus;Kauf
1.650.000 €;229 m²;Seefeld, Starnberg (Kreis);Haus;Kauf
1.198.000 €;140,59 m²;Starnberg, Starnberg (Kreis);Haus;Kauf
2.690.000 €;387 m²;Seefeld, Starnberg (Kreis);Haus;Kauf
1.150.000 €;286,37 m²;Starnberg, Starnberg (Kreis);Haus;Kauf
1.550.000 €;215 m²;Gauting, Starnberg (Kreis);Haus;Kauf
2.600.000 €;160 m²;Pöcking, Starnberg (Kreis);Haus;Kauf
930.000 €;127 m²;Tutzing, Starnberg (Kreis);Haus;Kauf
420.000 €;240 m²;Schloßbergstrasse 2, Starnberg, Starnberg (Kreis);Haus;Kauf
270.000 €;72 m²;Starnberg, Starnberg (Kreis);Haus;Kauf
795.000 €;131 m²;Gauting, Starnberg (Kreis);Haus;Kauf
